# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-08-20 13:02:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 40
#     num_warmup = 40
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/accel_gp.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/results/profile/accel_gp/chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,sdgp_1,lscale_1,zgp_1.1,zgp_1.2,zgp_1.3,zgp_1.4,zgp_1.5,zgp_1.6,zgp_1.7,zgp_1.8,zgp_1.9,zgp_1.10,zgp_1.11,zgp_1.12,zgp_1.13,zgp_1.14,zgp_1.15,zgp_1.16,zgp_1.17,zgp_1.18,zgp_1.19,zgp_1.20,zgp_1.21,zgp_1.22,zgp_1.23,zgp_1.24,zgp_1.25,zgp_1.26,zgp_1.27,zgp_1.28,zgp_1.29,zgp_1.30,zgp_1.31,zgp_1.32,zgp_1.33,zgp_1.34,zgp_1.35,zgp_1.36,zgp_1.37,zgp_1.38,zgp_1.39,zgp_1.40,Intercept_sigma,sdgp_sigma_1,lscale_sigma_1,zgp_sigma_1.1,zgp_sigma_1.2,zgp_sigma_1.3,zgp_sigma_1.4,zgp_sigma_1.5,zgp_sigma_1.6,zgp_sigma_1.7,zgp_sigma_1.8,zgp_sigma_1.9,zgp_sigma_1.10,zgp_sigma_1.11,zgp_sigma_1.12,zgp_sigma_1.13,zgp_sigma_1.14,zgp_sigma_1.15,zgp_sigma_1.16,zgp_sigma_1.17,zgp_sigma_1.18,zgp_sigma_1.19,zgp_sigma_1.20,vsdgp_1.1,vlscale_1.1.1,vsdgp_sigma_1.1,vlscale_sigma_1.1.1,b_Intercept,b_sigma_Intercept
-648.73716,0.90569855,0.0098500832,9,511,0,687.95689,-11.015427,37.595617,0.087567759,-0.34873337,-0.63795619,-0.27788511,-0.81468568,-1.0657274,-0.79224512,0.79372618,1.3772697,-0.98707128,-0.44093123,-1.1196185,0.66664652,-0.98374549,-1.0509078,0.87034519,0.9005652,-0.48005258,-1.7616269,-0.58447545,1.3285604,-0.26410144,-1.1915348,0.14016015,1.951624,-0.56516503,-0.74963555,1.3896149,0.47213288,-0.19481722,-0.016929344,0.87649455,-0.47606199,2.0198524,0.39362649,0.48245581,-1.4850262,1.3324582,1.8966415,0.22721331,0.10746477,2.5579134,2.7024897,0.013137892,-1.1856559,-0.90934113,-1.3172844,1.3786846,1.4778017,-0.017127814,-0.75163558,0.24546736,-0.15375673,-1.0512032,-0.068378927,-1.6467319,1.0188144,0.063588768,0.18931361,-0.16945082,-1.0508482,-0.37233193,0.3432538,-0.99548407,37.595617,0.087567759,2.7024897,0.013137892,-11.015427,2.5579134
-645.41713,0.50906133,0.0098500832,9,511,0,676.96673,-11.360065,32.00595,0.092676743,0.18329429,-0.79515458,0.016752143,0.31665907,-1.5737464,-0.043336886,0.26514338,1.4753115,-1.1647339,-1.9622835,-0.27935307,0.93786123,-1.0453055,-0.30567453,1.5306445,1.4099362,-1.0045699,-1.7754462,-0.51565031,0.33775,0.47802024,-1.7389204,0.8827731,1.9145058,-0.33659575,0.0056985952,-0.56942048,1.5397514,-1.2869734,-1.5529873,0.5553825,0.059235595,0.92191184,1.3764912,0.75207501,-0.17236124,0.13190453,1.8429334,1.0418647,0.46509523,2.4198851,4.2379683,0.0088523134,-0.81130406,-1.095603,-1.2062612,-0.1102117,0.81960133,-1.4695317,-0.1696536,-0.44539418,0.48456365,-0.6943296,-0.53471272,-0.67612253,-0.028056613,0.76749468,0.099875715,0.44094965,-0.81757175,0.88077972,0.077416796,0.54086711,32.00595,0.092676743,4.2379683,0.0088523134,-11.360065,2.4198851
-647.32248,0.47958843,0.0098500832,9,511,0,680.95251,-11.094006,34.937266,0.099773884,0.19099217,-0.24116486,0.71113299,1.0549692,-1.2172513,0.42340592,-0.044933182,0.39501991,-1.0219222,-2.1275632,0.71660118,0.71713963,0.069581773,-0.29061407,0.6119561,1.8437669,-1.1142425,-2.0905903,0.93498201,0.42467383,0.55960831,-2.2578355,1.4431689,0.62620425,-0.027662243,-0.57432137,-0.10267786,1.5222175,-0.21556016,-1.7600986,0.8738454,0.42587921,0.3949983,0.70989931,0.56536034,0.35371041,0.86837565,2.0558999,0.40738931,-0.034328027,2.3184399,3.066762,0.009167359,-0.49604553,-0.44369818,-1.137024,0.88218081,1.3859692,-1.2393378,-0.27107109,-0.16170525,-0.29302134,-1.0577432,-1.3771482,-1.6384554,-0.017419186,0.68443875,-0.22859722,0.799056,-1.6748664,1.0335402,0.084303799,0.83848619,34.937266,0.099773884,3.066762,0.009167359,-11.094006,2.3184399
-650.71873,0.087093662,0.0098500832,9,511,0,684.89636,-11.040532,34.572018,0.093258244,0.24885401,-0.29164774,0.68807799,1.1109798,-1.3363593,0.39999028,-0.086579842,0.48962819,-1.0747253,-2.0445016,0.78616309,0.77708433,0.070646421,-0.24796686,0.64318554,1.9238539,-1.1306818,-2.0232067,0.85493815,0.4726172,0.61335377,-2.2425492,1.4460422,0.69121044,-0.049362722,-0.66364201,-0.060763564,1.5192414,-0.29479701,-1.8203261,0.77503965,0.35874285,0.39261733,0.68545742,0.68853197,0.31914872,0.9142162,2.0959426,0.38801695,-0.043504763,2.292682,2.7667025,0.009603463,-0.47499599,-0.5439264,-1.170358,0.78064819,1.409389,-1.1822225,-0.30483211,-0.16821131,-0.32468723,-1.1302364,-1.3984241,-1.6251424,0.044645963,0.59681593,-0.31610294,0.75297899,-1.6753456,1.0621841,0.20328622,0.86951362,34.572018,0.093258244,2.7667025,0.009603463,-11.040532,2.292682
-643.08663,0.93797199,0.0098500832,7,211,1,673.21139,-11.883896,31.38319,0.083197618,0.88123982,-0.25255894,1.7076774,1.0756594,-1.5498528,0.67480659,-0.34185689,0.6792006,-0.86195805,-2.0476204,1.4518993,0.71215067,0.21859502,-0.060864559,0.33120003,1.140414,-0.38378529,-1.7854921,0.66742905,0.69303833,0.60291628,-2.2140795,-0.3506814,0.92369263,0.46535978,-1.0562514,0.58949298,0.023943396,0.80961334,-1.7205073,-0.13806673,0.75823445,1.1633321,0.049713999,-0.57282166,0.0023441032,1.4198028,0.16060058,0.011431551,-0.53200873,2.1259404,8.4888014,0.0051130114,0.27839135,-0.49791612,-0.46443367,0.23346606,0.72037859,-0.51103136,0.178717,-0.48129035,-0.17252124,-1.6351854,-1.2049944,-0.73911625,0.29747924,0.61606954,0.67094682,-0.20584732,-0.7011514,-0.0878168,-0.099963878,0.11918215,31.38319,0.083197618,8.4888014,0.0051130114,-11.883896,2.1259404
-642.51191,0.59584098,0.0098500832,9,511,0,668.8193,-12.481809,42.822846,0.083481985,1.4612758,-0.10534616,1.8088856,1.2717761,-1.0449913,1.0066143,-0.21127924,1.579876,-0.37312933,-1.5596662,1.5657466,0.46742112,0.12049673,-0.31049747,0.34019237,0.65860411,-1.1757795,-1.8557297,1.1646379,-0.34361317,0.40907589,-1.9336363,-0.43484462,0.18725509,0.080726687,-0.37075174,0.9006419,-0.41241706,0.39472164,-1.580334,0.10742424,0.18745385,1.3936731,0.8219438,-0.9785041,0.12464806,1.6829128,0.39472741,0.28031489,1.0658151,2.3012696,5.4683324,0.0041533985,-0.12963263,-0.95180352,-1.1475043,0.5151747,0.46304906,-1.271721,-0.42626008,-0.25166155,0.52761457,-0.95358931,-0.62025307,-0.81092964,0.24089565,0.79752121,0.35658864,-0.39554351,-0.47738373,-0.1397395,0.87745494,0.033211493,42.822846,0.083481985,5.4683324,0.0041533985,-12.481809,2.3012696
-642.46984,0.59324532,0.0098500832,6,100,1,675.78535,-12.57726,40.159092,0.084842869,1.3418419,-0.0077713304,1.8106501,1.2694717,-1.0119238,1.0049537,-0.1719523,1.6030923,-0.44371227,-1.6183546,1.5165627,0.44835312,0.049306089,-0.22010472,0.24727092,0.76730838,-1.059625,-1.8379366,1.1103944,-0.14162169,0.22166828,-1.8448273,-0.4478343,0.11342213,0.20317473,-0.44068247,1.0726047,-0.4502321,0.13328596,-1.512561,0.22366592,0.080351831,1.3063345,0.77169444,-0.91733075,0.18073311,1.5431719,0.31063263,0.42992133,1.1797228,2.4044115,5.0306457,0.0035118864,-0.31840968,-0.74395517,-1.1146848,0.50992896,0.39382286,-1.1545401,-0.48206683,-0.27910775,0.59428266,-1.0338798,-0.57466724,-0.62816039,0.44431863,0.70026743,0.54399803,-0.57433174,-0.39501533,-0.20871473,0.7998478,0.049529183,40.159092,0.084842869,5.0306457,0.0035118864,-12.57726,2.4044115
-639.44364,0.86253651,0.0098500832,5,44,1,668.82352,-12.374784,38.891459,0.080777534,1.2814784,-0.10416741,1.7461675,1.2157475,-1.0642642,1.0939924,-0.1693397,1.8685046,-0.44193063,-1.6958508,1.4491048,0.41814598,-0.078534242,-0.506693,0.43178517,0.79368877,-0.92038565,-1.6569098,1.0268074,0.22314962,0.22488463,-1.8862018,-0.22584962,0.21154852,0.11661033,-0.57592388,0.98755546,-0.4482805,0.34430038,-1.4680457,0.20591007,0.024899236,1.0023459,0.49702327,-0.91141417,-0.034710163,1.296827,0.36270219,0.39514028,1.0596023,2.5359208,5.7493215,0.0039683933,-0.42956869,-0.72875012,-1.1231511,0.35026674,0.39225695,-0.97550184,-0.24312508,0.022031139,0.74979841,-1.0902155,-0.7376701,-0.67267646,0.49715204,0.53094325,0.56169947,-0.53700425,-0.58003233,-0.22801544,0.78777453,-0.07853357,38.891459,0.080777534,5.7493215,0.0039683933,-12.374784,2.5359208
-640.36606,0.32198921,0.0098500832,9,511,0,672.30947,-12.573984,33.389912,0.050325955,0.1322705,-0.034488391,1.3739342,0.98420793,-0.9590364,0.13879058,1.1897151,1.9793294,-0.57782518,-0.35934098,1.8648737,1.5026178,-0.36633737,-1.3677709,-0.21466942,0.16325001,-0.8527289,-1.156379,1.1411988,0.47726179,0.21540156,-1.7590168,-0.60162279,-0.3677647,0.54294335,-1.4809084,0.53892616,-0.7096078,0.91491886,-0.6888213,0.63845985,0.21109967,0.71831299,-0.39275447,-1.2231947,-0.12240571,1.0020792,-0.46471295,1.0186529,0.78727199,2.6882306,3.0601577,0.008867701,-0.62076073,-1.0672884,-0.81970987,0.78364539,-0.5340658,-1.4493235,-1.2806411,-0.17336665,1.5629627,-0.38304418,-0.027605928,-0.7585562,-0.043790695,0.58311968,0.37448381,-0.044454213,-0.96736325,0.17555637,0.24991354,0.72377235,33.389912,0.050325955,3.0601577,0.008867701,-12.573984,2.6882306
-650.05088,0.56823737,0.0098500832,9,511,0,673.54979,-10.281612,32.342565,0.065066862,0.36229086,-1.2445895,1.9636872,0.76298355,-0.27871534,0.91232802,0.53680024,0.59266782,-0.65586101,-2.4214322,0.61287804,1.5688931,-1.7889938,-0.1109327,-0.64747929,0.082491907,-0.48406871,-1.9948205,0.20818663,1.6984285,-0.17264826,-0.51314807,-0.083930277,1.3371329,-0.53379763,-1.023515,0.60743331,0.28539673,0.84569612,0.52284589,1.0433259,-0.22834568,0.38462898,-0.19215231,-0.1847345,-0.68064364,1.379173,0.73811588,-0.90494505,-0.037683195,2.3545005,4.0493257,0.015051197,0.63807685,-1.934088,-0.36753768,-0.33735733,-0.58229918,-0.75943714,-0.23076648,-0.23242019,1.8432595,-0.32433546,-0.14731276,0.02122179,-0.47385103,1.6004955,0.071076897,0.97893684,0.14934251,0.24250291,0.77303834,-0.47777072,32.342565,0.065066862,4.0493257,0.015051197,-10.281612,2.3545005
-657.31653,0.58378593,0.0098500832,8,511,0,689.65295,-9.6739491,30.815207,0.074642151,0.62262763,-2.1613353,0.3320369,-0.89121503,-2.5891245,-0.18039431,0.30966278,1.8948339,0.95620837,-1.4676248,1.6772059,1.857197,-0.98897591,0.38102039,0.42303648,1.0682473,-0.80222912,-2.7504263,0.80246111,0.43692454,0.3535918,-0.5879794,0.20735993,0.16979512,-0.6489624,-0.68376068,-0.068908303,0.46060182,1.82371,-0.33470399,0.33435772,-1.3993979,0.20196765,-0.50296607,-2.1114179,-0.43405501,-0.75401998,-0.074973386,-1.9062977,-1.9305518,3.5474715,1.8896658,0.043157094,-1.1274051,-1.8530285,1.1158668,-0.57569201,0.80713772,-1.0510603,-0.2782001,0.41390563,0.92385453,-0.39120056,-0.91906422,-0.60493809,0.40746774,0.6153882,1.2725106,-0.46782143,0.58065457,0.0081676636,1.0535487,-0.0044770332,30.815207,0.074642151,1.8896658,0.043157094,-9.6739491,3.5474715
-652.36154,0.75529968,0.0098500832,9,511,0,692.40483,-11.135266,35.19636,0.087750708,-0.22730443,-1.9007311,-0.34176708,-0.59221947,-1.7559817,-0.82007004,0.30419815,0.0075834782,0.080290181,-1.7386764,1.3828494,1.0576789,-0.8142714,-0.6925658,-0.34639015,0.61126467,0.18944193,-1.7948739,1.6955414,0.89951745,0.041961142,-1.238382,-1.4386156,0.63460819,-0.9799079,-0.98453965,0.17613162,0.61998296,1.6118663,-1.8924296,1.2187358,-1.3315728,0.13967241,0.47682077,-1.5771236,0.12175422,0.20244903,1.579981,-1.60444,0.79848999,3.3590376,1.7546078,0.081085358,-1.0001063,0.52122957,0.082353701,1.2389506,-1.0037975,0.066281191,-2.8678887,0.82939119,-0.79869133,-0.21304426,-0.49897455,-0.55249979,1.3824028,0.38212781,1.3066109,-0.82126378,-0.89178721,-0.47471523,0.48661724,0.3080426,35.19636,0.087750708,1.7546078,0.081085358,-11.135266,3.3590376
-646.70395,0.86147882,0.0098500832,9,511,0,681.93553,-10.201838,33.222615,0.093940243,-0.25946885,-0.30989517,0.47266639,0.94032335,-0.40213207,-0.068024779,0.35869783,1.9211238,-1.1992777,0.6289144,0.39955395,2.3847603,-1.0291898,-1.4141979,1.313989,1.3111127,0.026257549,-0.099030563,-0.66114499,2.3359978,-1.2639971,-0.20646533,1.307477,1.6756197,0.42921123,-2.0820913,-0.80885784,0.62655018,-1.5265368,0.87812995,-0.92247519,0.89662996,-0.16531857,0.17591579,0.45071813,-0.83386987,0.51880174,-0.17961722,0.41416635,-0.86724177,1.9907677,2.2723137,0.033977007,0.82696575,-0.03561208,-0.5621217,0.17089437,0.096023397,-1.5911571,-0.27571798,-0.26425603,1.1151391,0.31757517,0.072906316,-0.068752326,-0.20420404,-0.20663601,-0.5150465,-0.82619604,-0.81237303,0.90109122,0.46382335,1.3533025,33.222615,0.093940243,2.2723137,0.033977007,-10.201838,1.9907677
-649.76263,0.40804197,0.0098500832,9,511,0,682.1728,-8.9676039,28.173204,0.062007928,0.4501072,-0.033984875,1.5350972,0.7496769,-0.076766534,-0.75931093,1.8609129,2.1675759,-0.9193983,0.32771882,-0.079579875,2.5107812,-0.37931506,-1.1340346,1.6375819,1.054884,0.087832115,-0.90842731,0.59485205,2.1462474,0.008876761,-0.75267761,1.0269284,-0.17711098,0.53268298,-1.3862425,-0.99382689,0.24209606,-2.0587325,0.66668896,-0.57903792,0.87120068,-0.42686447,2.0619845,0.038306798,-0.62019516,0.93496084,-0.26973515,0.2784121,-1.8798202,1.5830183,2.3330019,0.14701049,0.18282377,-0.93353248,-0.92899934,-0.10009551,0.40290089,-0.78965152,0.1417279,-0.28862051,1.2564894,0.3503454,0.69877324,-0.42357796,-0.06698839,-0.69413116,-0.7082242,-0.79934086,-0.65889789,0.57311699,1.5773833,0.63951846,28.173204,0.062007928,2.3330019,0.14701049,-8.9676039,1.5830183
-648.25172,0.38034045,0.0098500832,9,511,0,680.47845,-9.5181609,32.786307,0.0690516,0.45685777,-0.44293794,1.627845,-0.10852378,0.11887327,-0.25682733,1.0947996,2.3343358,-1.2296921,0.45983569,-0.20206423,2.281939,-0.17845253,-0.91959892,1.649615,0.3352994,-0.23181494,-0.2341602,0.4962754,2.3303315,0.87450343,-0.81305554,1.5169489,0.18238053,0.45498939,-1.4088029,-0.52462233,-0.13109418,-1.9207873,1.4047205,-0.9671362,0.90748193,-0.82281541,0.91324937,-0.66764421,-0.37175946,1.2585702,0.38316099,0.67946201,-2.229715,1.6502547,2.0744332,0.10201901,0.68946145,-1.2635103,-0.25991301,0.45952794,0.87678165,0.078431959,-0.23911807,0.039081127,0.87836928,-0.14542388,0.77486612,-0.24347245,-0.0020644456,-0.39435556,-1.0439224,-0.90001163,-0.41091219,0.63468566,1.8120902,0.90323916,32.786307,0.0690516,2.0744332,0.10201901,-9.5181609,1.6502547
-644.16725,0.93402718,0.0098500832,9,511,0,679.92456,-11.308223,41.795244,0.091373539,-0.059582471,-0.84027042,-0.1590971,0.37040214,-1.7031737,-0.57395617,-0.208353,-0.44501342,-0.32913226,-2.5638065,1.0773661,0.18825769,-0.38260205,-1.6940205,0.43036956,-0.098923578,-0.7233857,-2.142964,-0.36149816,0.83916584,-1.1913756,-1.0540472,-0.93647349,1.1585537,-0.89950293,-0.82868069,-0.11430126,0.95653598,1.6316478,-1.8583936,0.61388804,-0.75848425,0.81205786,-0.28995618,-0.61145304,1.8889358,0.6000254,0.022385887,-1.6708616,0.70102392,2.2272539,1.3931143,0.045765474,0.35784611,-0.66615638,-0.18679239,0.76071565,0.90921353,-1.2504202,-1.6038963,1.3322959,0.29980826,1.6470566,-0.89747689,-0.6306089,-0.088313896,-0.34270457,0.801662,-0.82604194,-0.28878787,-0.27042173,0.40274369,-0.15410457,41.795244,0.091373539,1.3931143,0.045765474,-11.308223,2.2272539
